id,systems,source,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,hp,hp_formula,speed,str,dex,con,int,wis,cha,cr,senses,languages,skills
scout,5.5e,SRD,Scout,,"_Medium or Small Humanoid, Neutral_
**AC** 13 **Initiative** +2 (12) 
**HP** 16 (3d8 + 3) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 11 
 +0 
 +0 
 DEX 
 14 
 +2 
 +2 
 CON 
 12 
 +1 
 +1 
 
 
 INT 
 11 
 +0 
 +0 
 WIS 
 13 
 +1 
 +1 
 CHA 
 11 
 +0 
 +0 
 
 
 
**Skills** Nature +4, Perception +5, Stealth +6, Survival +5 
**Gear** Leather Armor, Longbow, Shortsword 
**Senses** Passive Perception 15 
**Languages** Common plus one other language 
**CR** 1/2 (XP 100; PB +2)
#### Actions
 
**_Multiattack._** The scout makes two attacks, using Shortsword and Longbow in any combination.
**_Shortsword._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Piercing damage.
**_Longbow._** _Ranged Attack Roll:_ +4, range 150/600 ft. _Hit:_ 6 (1d8 + 2) Piercing damage.
## Sea Hag
### Sea Hag",,,medium,or small humanoid,Neutral,13,16,3d8 + 3,30 ft.,11,14,12,11,13,11,1/2,Passive Perception 15,Common plus one other language,"Nature +4, Perception +5, Stealth +6, Survival +5"
sea-hag,5.5e,SRD,Sea Hag,,"_Medium Fey, Chaotic Evil_
**AC** 14 **Initiative** +1 (11) 
**HP** 52 (7d8 + 21) 
**Speed** 30 ft., Swim 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 16 
 +3 
 +3 
 DEX 
 13 
 +1 
 +1 
 CON 
 16 
 +3 
 +3 
 
 
 INT 
 12 
 +1 
 +1 
 WIS 
 12 
 +1 
 +1 
 CHA 
 13 
 +1 
 +1 
 
 
 
**Senses** Darkvision 60 ft.; Passive Perception 11 
**Languages** Common, Giant, Primordial (Aquan) 
**CR** 2 (XP 450; PB +2)
#### Traits
 
**_Amphibious._** The hag can breathe air and water.
**_Coven Magic._** While within 30 feet of at least two hag allies, the hag can cast one of the following spells, requiring no Material components, using the spell's normal casting time, and using Intelligence as the spellcasting ability (spell save DC 11): _Augury, Find Familiar, Identify, Locate Object, Scrying,_ or _Unseen Servant_. The hag must finish a Long Rest before using this trait to cast that spell again.
**_Vile Appearance._** _Wisdom Saving Throw:_ DC 11, any Beast or Humanoid that starts its turn within 30 feet of the hag and can see the hag's true form. _Failure:_ The target has the Frightened condition until the start of its next turn. _Success:_ The target is immune to this hag's Vile Appearance for 24 hours.
#### Actions
 
**_Claw._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 10 (2d6 + 3) Slashing damage.
**_Death Glare (Recharge 5–6)._** _Wisdom Saving Throw:_ DC 11, one Frightened creature the hag can see within 30 feet. _Failure:_ If the target has 20 Hit Points or fewer, it drops to 0 Hit Points. Otherwise, the target takes 13 (3d8) Psychic damage.
**_Illusory Appearance._** The hag casts _Disguise Self_, using Constitution as the spellcasting ability (spell save DC 13). The spell's duration is 24 hours.
## Shadow
### Shadow",,,medium,fey,Chaotic Evil,14,52,7d8 + 21,"30 ft., Swim 40 ft.",16,13,16,12,12,13,2,Darkvision 60 ft.; Passive Perception 11,"Common, Giant, Primordial (Aquan)",
shadow,5.5e,SRD,Shadow,,"_Medium Undead, Chaotic Evil_
**AC** 12 **Initiative** +2 (12) 
**HP** 27 (5d8 + 5) 
**Speed** 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 6 
 −2 
 −2 
 DEX 
 14 
 +2 
 +2 
 CON 
 13 
 +1 
 +1 
 
 
 INT 
 6 
 −2 
 −2 
 WIS 
 10 
 +0 
 +0 
 CHA 
 8 
 −1 
 −1 
 
 
 
**Skills** Stealth +6 
**Vulnerabilities** Radiant 
**Resistances** Acid, Cold, Fire, Lightning, Thunder 
**Immunities** Necrotic, Poison; Exhaustion, Frightened, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** None 
**CR** 1/2 (XP 100; PB +2)
#### Traits
 
**_Amorphous._** The shadow can move through a space as narrow as 1 inch without expending extra movement to do so.
**_Sunlight Weakness._** While in sunlight, the shadow has Disadvantage on D20 Tests.
#### Actions
 
**_Draining Swipe._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 5 (1d6 + 2) Necrotic damage, and the target's Strength score decreases by 1d4. The target dies if this reduces that score to 0. If a Humanoid is slain by this attack, a **Shadow** rises from the corpse 1d4 hours later.
#### Bonus Actions
 
**_Shadow Stealth._** While in Dim Light or Darkness, the shadow takes the Hide action.
## Shambling Mound
### Shambling Mound",,,medium,undead,Chaotic Evil,12,27,5d8 + 5,40 ft.,6,14,13,6,10,8,1/2,Darkvision 60 ft.; Passive Perception 10,None,Stealth +6
shambling-mound,5.5e,SRD,Shambling Mound,,"_Large Plant, Unaligned_
**AC** 15 **Initiative** −1 (9) 
**HP** 110 (13d10 + 39) 
**Speed** 30 ft., Swim 20 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 18 
 +4 
 +4 
 DEX 
 8 
 −1 
 −1 
 CON 
 16 
 +3 
 +3 
 
 
 INT 
 5 
 −3 
 −3 
 WIS 
 10 
 +0 
 +0 
 CHA 
 5 
 −3 
 −3 
 
 
 
**Skills** Stealth +3 
**Resistances** Cold, Fire 
**Immunities** Lightning; Deafened, Exhaustion 
**Senses** Blindsight 60 ft.; Passive Perception 10 
**Languages** None 
**CR** 5 (XP 1,800; PB +3)
#### Traits
 
**_Lightning Absorption._** Whenever the shambling mound is subjected to Lightning damage, it regains a number of Hit Points equal to the Lightning damage dealt.
#### Actions
 
**_Multiattack._** The shambling mound makes three Charged Tendril attacks. It can replace one attack with a use of Engulf.
**_Charged Tendril._** _Melee Attack Roll:_ +7, reach 10 ft. _Hit:_ 7 (1d6 + 4) Bludgeoning damage plus 5 (2d4) Lightning damage. If the target is a Medium or smaller creature, the shambling mound pulls the target 5 feet straight toward itself.
**_Engulf._** _Strength Saving Throw:_ DC 15, one Medium or smaller creature within 5 feet. _Failure:_ The target is pulled into the shambling mound's space and has the Grappled condition (escape DC 14). Until the grapple ends, the target has the Blinded and Restrained conditions, and it takes 10 (3d6) Lightning damage at the start of each of its turns. When the shambling mound moves, the Grappled target moves with it, costing it no extra movement. The shambling mound can have only one creature Grappled by this action at a time.
## Shield Guardian
### Shield Guardian",,,large,plant,Unaligned,15,110,13d10 + 39,"30 ft., Swim 20 ft.",18,8,16,5,10,5,5,Blindsight 60 ft.; Passive Perception 10,None,Stealth +3
shield-guardian,5.5e,SRD,Shield Guardian,,"_Large Construct, Unaligned_
**AC** 17 **Initiative** −1 (9) 
**HP** 142 (15d10 + 60) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 18 
 +4 
 +4 
 DEX 
 8 
 −1 
 −1 
 CON 
 18 
 +4 
 +4 
 
 
 INT 
 7 
 −2 
 −2 
 WIS 
 10 
 +0 
 +0 
 CHA 
 3 
 −4 
 −4 
 
 
 
**Immunities** Poison; Charmed, Exhaustion, Frightened, Paralyzed, Petrified, Poisoned 
**Senses** Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 10 
**Languages** Understands commands given in any language but can't speak 
**CR** 7 (XP 2,900; PB +3)
#### Traits
 
**_Bound._** The guardian is magically bound to an amulet. While the guardian and its amulet are on the same plane of existence, the amulet's wearer can telepathically call the guardian to travel to it, and the guardian knows the distance and direction to the amulet. If the guardian is within 60 feet of the amulet's wearer, half of any damage the wearer takes (round up) is transferred to the guardian.
**_Regeneration._** The guardian regains 10 Hit Points at the start of each of its turns if it has at least 1 Hit Point.
**_Spell Storing._** A spellcaster who wears the guardian's amulet can cause the guardian to store one spell of level 4 or lower. To do so, the wearer must cast the spell on the guardian while within 5 feet of it. The spell has no effect but is stored within the guardian. Any previously stored spell is lost when a new spell is stored. The guardian can cast the spell stored with any parameters set by the original caster, requiring no spell components and using the caster's spellcasting ability. The stored spell is then lost.
#### Actions
 
**_Multiattack._** The guardian makes two Fist attacks.
**_Fist._** _Melee Attack Roll:_ +7, reach 10 ft. _Hit:_ 11 (2d6 + 4) Bludgeoning damage plus 7 (2d6) Force damage.
#### Reactions
 
**_Protection._** _Trigger:_ An attack roll hits the wearer of the guardian's amulet while the wearer is within 5 feet of the guardian. _Response:_ The wearer gains a +5 bonus to AC, including against the triggering attack and possibly causing it to miss, until the start of the guardian's next turn.
## Silver Dragons
### Silver Dragon Wyrmling",,,large,construct,Unaligned,17,142,15d10 + 60,30 ft.,18,8,18,7,10,3,7,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 10",Understands commands given in any language but can't speak,
silver-dragon-wyrmling,5.5e,SRD,Silver Dragon Wyrmling,,"_Medium Dragon (Metallic), Lawful Good_
**AC** 17 **Initiative** +2 (12) 
**HP** 45 (6d8 + 18) 
**Speed** 30 ft., Fly 60 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 19 
 +4 
 +4 
 DEX 
 10 
 +0 
 +2 
 CON 
 17 
 +3 
 +3 
 
 
 INT 
 12 
 +1 
 +1 
 WIS 
 11 
 +0 
 +2 
 CHA 
 15 
 +2 
 +2 
 
 
 
**Skills** Perception +4, Stealth +2 
**Immunities** Cold 
**Senses** Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14 
**Languages** Draconic 
**CR** 2 (450 XP; PB +2)
#### Actions
 
**_Multiattack._** The dragon makes two Rend attacks.
**_Rend._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 9 (1d10 + 4) Piercing damage.
**_Cold Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 13, each creature in a 15-foot Cone. _Failure:_ 18 (4d8) Cold damage. _Success:_ Half damage.
**_Paralyzing Breath._** _Constitution Saving Throw:_ DC 13, each creature in a 15-foot Cone. _First Failure:_ The target has the Incapacitated condition until the end of its next turn, when it repeats the save. _Second Failure:_ The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
### Young Silver Dragon",,,medium,dragon (metallic),Lawful Good,17,45,6d8 + 18,"30 ft., Fly 60 ft.",19,10,17,12,11,15,2,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Perception +4, Stealth +2"
young-silver-dragon,5.5e,SRD,Young Silver Dragon,,"_Large Dragon (Metallic), Lawful Good_
**AC** 18 **Initiative** +4 (14) 
**HP** 168 (16d10 + 80) 
**Speed** 40 ft., Fly 80 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 23 
 +6 
 +6 
 DEX 
 10 
 +0 
 +4 
 CON 
 21 
 +5 
 +5 
 
 
 INT 
 14 
 +2 
 +2 
 WIS 
 11 
 +0 
 +4 
 CHA 
 19 
 +4 
 +4 
 
 
 
**Skills** History +6, Perception +8, Stealth +4 
**Immunities** Cold 
**Senses** Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 18 
**Languages** Common, Draconic 
**CR** 9 (XP 5,000; PB +4)
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of Paralyzing Breath.
**_Rend._** _Melee Attack Roll:_ +10, reach 10 ft. _Hit:_ 15 (2d8 + 6) Slashing damage.
**_Cold Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 17, each creature in a 30-foot Cone. _Failure:_ 49 (11d8) Cold damage. _Success:_ Half damage.
**_Paralyzing Breath._** _Constitution Saving Throw:_ DC 17, each creature in a 30-foot Cone. _First Failure:_ The target has the Incapacitated condition until the end of its next turn, when it repeats the save. _Second Failure:_ The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
### Adult Silver Dragon",,,large,dragon (metallic),Lawful Good,18,168,16d10 + 80,"40 ft., Fly 80 ft.",23,10,21,14,11,19,9,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 18","Common, Draconic","History +6, Perception +8, Stealth +4"
adult-silver-dragon,5.5e,SRD,Adult Silver Dragon,,"_Huge Dragon (Metallic), Lawful Good_
**AC** 19 **Initiative** +10 (20) 
**HP** 216 (16d12 + 112) 
**Speed** 40 ft., Fly 80 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 27 
 +8 
 +8 
 DEX 
 10 
 +0 
 +5 
 CON 
 25 
 +7 
 +7 
 
 
 INT 
 16 
 +3 
 +3 
 WIS 
 13 
 +1 
 +6 
 CHA 
 22 
 +6 
 +6 
 
 
 
**Skills** History +8, Perception +11, Stealth +5 
**Immunities** Cold 
**Senses** Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 21 
**Languages** Common, Draconic 
**CR** 16 (XP 15,000, or 18,000 in lair; PB +5)
#### Traits
 
**_Legendary Resistance (3/Day, or 4/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Paralyzing Breath or (B) Spellcasting to cast _Ice Knife_.
**_Rend._** _Melee Attack Roll:_ +13, reach 10 ft. _Hit:_ 17 (2d8 + 8) Slashing damage plus 4 (1d8) Cold damage.
**_Cold Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 20, each creature in a 60-foot Cone. _Failure:_ 54 (12d8) Cold damage. _Success:_ Half damage.
**_Paralyzing Breath._** _Constitution Saving Throw:_ DC 20, each creature in a 60-foot Cone. _First Failure:_ The target has the Incapacitated condition until the end of its next turn, when it repeats the save. _Second Failure:_ The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 19, +11 to hit with spell attacks): 
 **At Will:** _Detect Magic_, _Hold Monster_, _Ice Knife_, _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell) 
 **1/Day Each:** _Ice Storm_ (level 5 version), _Zone of Truth_
#### Legendary Actions
 
_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._
**_Chill._** The dragon uses Spellcasting to cast _Hold Monster_. The dragon can't take this action again until the start of its next turn.
**_Cold Gale._** _Dexterity Saving Throw:_ DC 19, each creature in a 60-foot-long, 10-foot-wide Line. _Failure:_ 14 (4d6) Cold damage, and the target is pushed up to 30 feet straight away from the dragon. _Success:_ Half damage only. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.
**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.
### Ancient Silver Dragon",,,huge,dragon (metallic),Lawful Good,19,216,16d12 + 112,"40 ft., Fly 80 ft.",27,10,25,16,13,22,16,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 21","Common, Draconic","History +8, Perception +11, Stealth +5"
ancient-silver-dragon,5.5e,SRD,Ancient Silver Dragon,,"_Gargantuan Dragon (Metallic), Lawful Good_
**AC** 22 **Initiative** +14 (24) 
**HP** 468 (24d20 + 216) 
**Speed** 40 ft., Fly 80 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 30 
 +10 
 +10 
 DEX 
 10 
 +0 
 +7 
 CON 
 29 
 +9 
 +9 
 
 
 INT 
 18 
 +4 
 +4 
 WIS 
 15 
 +2 
 +9 
 CHA 
 26 
 +8 
 +8 
 
 
 
**Skills** History +11, Perception +16, Stealth +7 
**Immunities** Cold 
**Senses** Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 26 
**Languages** Common, Draconic 
**CR** 23 (XP 50,000, or 62,000 in lair; PB +7)
#### Traits
 
**_Legendary Resistance (4/Day, or 5/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.
#### Actions
 
**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Paralyzing Breath or (B) Spellcasting to cast _Ice Knife_ (level 2 version).
**_Rend._** _Melee Attack Roll:_ +17, reach 15 ft. _Hit:_ 19 (2d8 + 10) Slashing damage plus 9 (2d8) Cold damage.
**_Cold Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 24, each creature in a 90-foot Cone. _Failure:_ 67 (15d8) Cold damage. _Success:_ Half damage.
**_Paralyzing Breath._** _Constitution Saving Throw:_ DC 24, each creature in a 90-foot Cone. _First Failure:_ The target has the Incapacitated condition until the end of its next turn, when it repeats the save. _Second Failure:_ The target has the Paralyzed condition, and it repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.
**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 23, +15 to hit with spell attacks): 
 **At Will:** _Detect Magic_, _Hold Monster_, _Ice Knife_ (level 2 version), _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell) 
 **1/Day Each:** _Control Weather_, _Ice Storm_ (level 7 version), _Teleport_, _Zone of Truth_
#### Legendary Actions
 
_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._
**_Chill._** The dragon uses Spellcasting to cast _Hold Monster_. The dragon can't take this action again until the start of its next turn.
**_Cold Gale._** _Dexterity Saving Throw:_ DC 23, each creature in a 60-foot-long, 10-foot-wide Line. _Failure:_ 14 (4d6) Cold damage, and the target is pushed up to 30 feet straight away from the dragon. _Success:_ Half damage only. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.
**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.
## Skeletons
### Skeleton",,,gargantuan,dragon (metallic),Lawful Good,22,468,24d20 + 216,"40 ft., Fly 80 ft.",30,10,29,18,15,26,23,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 26","Common, Draconic","History +11, Perception +16, Stealth +7"
skeleton,5.5e,SRD,Skeleton,,"_Medium Undead, Lawful Evil_
**AC** 14 **Initiative** +3 (13) 
**HP** 13 (2d8 + 4) 
**Speed** 30 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 10 
 +0 
 +0 
 DEX 
 16 
 +3 
 +3 
 CON 
 15 
 +2 
 +2 
 
 
 INT 
 6 
 −2 
 −2 
 WIS 
 8 
 −1 
 −1 
 CHA 
 5 
 −3 
 −3 
 
 
 
**Vulnerabilities** Bludgeoning 
**Immunities** Poison; Exhaustion, Poisoned 
**Gear** Shortbow, Shortsword 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** Understands Common plus one other language but can't speak 
**CR** 1/4 (XP 50; PB +2)
#### Actions
 
**_Shortsword._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 6 (1d6 + 3) Piercing damage.
**_Shortbow._** _Ranged Attack Roll:_ +5, range 80/320 ft. _Hit:_ 6 (1d6 + 3) Piercing damage.
### Warhorse Skeleton",,,medium,undead,Lawful Evil,14,13,2d8 + 4,30 ft.,10,16,15,6,8,5,1/4,Darkvision 60 ft.; Passive Perception 9,Understands Common plus one other language but can't speak,
warhorse-skeleton,5.5e,SRD,Warhorse Skeleton,,"_Large Undead, Lawful Evil_
**AC** 13 **Initiative** +1 (11) 
**HP** 22 (3d10 + 6) 
**Speed** 60 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 18 
 +4 
 +4 
 DEX 
 12 
 +1 
 +1 
 CON 
 15 
 +2 
 +2 
 
 
 INT 
 2 
 −4 
 −4 
 WIS 
 8 
 −1 
 −1 
 CHA 
 5 
 −3 
 −3 
 
 
 
**Vulnerabilities** Bludgeoning 
**Immunities** Poison; Exhaustion, Poisoned 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** None 
**CR** 1/2 (XP 100; PB +2)
#### Actions
 
**_Hooves._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 7 (1d6 + 4) Bludgeoning damage. If the target is a Large or smaller creature and the skeleton moved 20+ feet straight toward it immediately before the hit, the target has the Prone condition.
### Minotaur Skeleton",,,large,undead,Lawful Evil,13,22,3d10 + 6,60 ft.,18,12,15,2,8,5,1/2,Darkvision 60 ft.; Passive Perception 9,None,
minotaur-skeleton,5.5e,SRD,Minotaur Skeleton,,"_Large Undead, Lawful Evil_
**AC** 12 **Initiative** +0 (10) 
**HP** 45 (6d10 + 12) 
**Speed** 40 ft. 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 18 
 +4 
 +4 
 DEX 
 11 
 +0 
 +0 
 CON 
 15 
 +2 
 +2 
 
 
 INT 
 6 
 −2 
 −2 
 WIS 
 8 
 −1 
 −1 
 CHA 
 5 
 −3 
 −3 
 
 
 
**Vulnerabilities** Bludgeoning 
**Immunities** Poison; Exhaustion, Poisoned 
**Senses** Darkvision 60 ft.; Passive Perception 9 
**Languages** Understands Abyssal but can't speak 
**CR** 2 (XP 450; PB +2)
#### Actions
 
**_Gore._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 11 (2d6 + 4) Piercing damage. If the target is a Large or smaller creature and the skeleton moved 20+ feet straight toward it immediately before the hit, the target takes an extra 9 (2d8) Piercing damage and has the Prone condition.
**_Slam._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 15 (2d10 + 4) Bludgeoning damage.
## Solar
### Solar",,,large,undead,Lawful Evil,12,45,6d10 + 12,40 ft.,18,11,15,6,8,5,2,Darkvision 60 ft.; Passive Perception 9,Understands Abyssal but can't speak,
solar,5.5e,SRD,Solar,,"_Large Celestial (Angel), Lawful Good_
**AC** 21 **Initiative** +20 (30) 
**HP** 297 (22d10 + 176) 
**Speed** 50 ft., Fly 150 ft. (hover) 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 26 
 +8 
 +8 
 DEX 
 22 
 +6 
 +6 
 CON 
 26 
 +8 
 +8 
 
 
 INT 
 25 
 +7 
 +7 
 WIS 
 25 
 +7 
 +7 
 CHA 
 30 
 +10 
 +10 
 
 
 
**Skills** Perception +14 
**Immunities** Poison, Radiant; Charmed, Exhaustion, Frightened, Poisoned 
**Senses** Truesight 120 ft.; Passive Perception 24 
**Languages** All; telepathy 120 ft. 
**CR** 21 (XP 33,000; PB +7)
#### Traits
 
**_Divine Awareness._** The solar knows if it hears a lie.
**_Exalted Restoration._** If the solar dies outside Mount Celestia, its body disappears, and it gains a new body instantly, reviving with all its Hit Points somewhere in Mount Celestia.
**_Legendary Resistance (4/Day)._** If the solar fails a saving throw, it can choose to succeed instead.
**_Magic Resistance._** The solar has Advantage on saving throws against spells and other magical effects.
#### Actions
 
**_Multiattack._** The solar makes two Flying Sword attacks. It can replace one attack with a use of Slaying Bow.
**_Flying Sword._** _Melee or Ranged Attack Roll:_ +15, reach 10 ft. or range 120 ft. _Hit:_ 22 (4d6 + 8) Slashing damage plus 36 (8d8) Radiant damage. _Hit or Miss:_ The sword magically returns to the solar's hand or hovers within 5 feet of the solar immediately after a ranged attack.
**_Slaying Bow._** _Dexterity Saving Throw:_ DC 21, one creature the solar can see within 600 feet. _Failure:_ If the creature has 100 Hit Points or fewer, it dies. It otherwise takes 24 (4d8 + 6) Piercing damage plus 36 (8d8) Radiant damage.
**_Spellcasting._** The solar casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 25): 
 **At Will:** _Detect Evil and Good_ 
 **1/Day Each:** _Commune, Control Weather, Dispel Evil and Good, Resurrection_
#### Bonus Actions
 
**_Divine Aid (3/Day)._** The solar casts _Cure Wounds_ (level 2 version), _Lesser Restoration_, or _Remove Curse_, using the same spellcasting ability as Spellcasting.
#### Legendary Actions
 
_Legendary Action Uses: 3. Immediately after another creature's turn, the solar can expend a use to take one of the following actions. The solar regains all expended uses at the start of each of its turns._
**_Blinding Gaze._** _Constitution Saving Throw:_ DC 25, one creature the solar can see within 120 feet. _Failure:_ The target has the Blinded condition for 1 minute. _Failure or Success:_ The solar can't take this action again until the start of its next turn.
**_Radiant Teleport._** The solar teleports up to 60 feet to an unoccupied space it can see. _Dexterity Saving Throw:_ DC 25, each creature in a 10-foot Emanation originating from the solar at its destination space. _Failure:_ 11 (2d10) Radiant damage. _Success:_ Half damage.
## Specter
### Specter",,,large,celestial (angel),Lawful Good,21,297,22d10 + 176,"50 ft., Fly 150 ft. (hover)",26,22,26,25,25,30,21,Truesight 120 ft.; Passive Perception 24,All; telepathy 120 ft.,Perception +14
specter,5.5e,SRD,Specter,,"_Medium Undead, Chaotic Evil_
**AC** 12 **Initiative** +2 (12) 
**HP** 22 (5d8) 
**Speed** 30 ft., Fly 50 ft. (hover) 
 
 
 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 MOD 
 SAVE 
 
 
 
 
 STR 
 1 
 −5 
 −5 
 DEX 
 14 
 +2 
 +2 
 CON 
 11 
 +0 
 +0 
 
 
 INT 
 10 
 +0 
 +0 
 WIS 
 10 
 +0 
 +0 
 CHA 
 11 
 +0 
 +0 
 
 
 
**Resistances** Acid, Bludgeoning, Cold, Fire, Lightning, Piercing, Slashing, Thunder 
**Immunities** Necrotic, Poison; Charmed, Exhaustion, Grappled, Paralyzed, Petrified, Poisoned, Prone, Restrained, Unconscious 
**Senses** Darkvision 60 ft.; Passive Perception 10 
**Languages** Understands Common plus one other language but can't speak 
**CR** 1 (XP 200; PB +2)
#### Traits
 
**_Incorporeal Movement._** The specter can move through other creatures and objects as if they were Difficult Terrain. It takes 5 (1d10) Force damage if it ends its turn inside an object.
**_Sunlight Sensitivity._** While in sunlight, the specter has Disadvantage on ability checks and attack rolls.
#### Actions
 
**_Life Drain._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 7 (2d6) Necrotic damage. If the target is a creature, its Hit Point maximum decreases by an amount equal to the damage taken.
## Sphinxes
### Sphinx of Wonder",,,medium,undead,Chaotic Evil,12,22,5d8,"30 ft., Fly 50 ft. (hover)",1,14,11,10,10,11,1,Darkvision 60 ft.; Passive Perception 10,Understands Common plus one other language but can't speak,
