#content-source: SRD 5.2.1
#content-systems: 5.5e
#content-url: https://dnd.wizards.com/resources/systems-reference-document
#content-license: CC-BY-4.0
#content-id: 019f6ae3-fb3a-7a28-894a-aedc0dd1440a
#content-updated-at: 2026-07-16
#content-hash: xxh64:dd9098d0cd39dc2e
id,name_en,name_uk,text_en,text_uk,effects,size,creature_type,alignment,ac,initiative,hp,hp_formula,speed,str,dex,con,int,wis,cha,str_save,dex_save,con_save,int_save,wis_save,cha_save,cr,resistances,immunities,vulnerabilities,gear,senses,languages,skills
cloaker,Cloaker,,"#### Traits

<hr>

**_Light Sensitivity._** While in Bright Light, the cloaker has Disadvantage on attack rolls.

#### Actions

<hr>

**_Multiattack._** The cloaker makes one Attach attack and two Tail attacks.

**_Attach._** _Melee Attack Roll:_ +6, reach 5 ft. _Hit:_ 13 (3d6 + 3) Piercing damage. If the target is a Large or smaller creature, the cloaker attaches to it. While the cloaker is attached, the target has the Blinded condition, and the cloaker can't make Attach attacks against other targets. In addition, the cloaker halves the damage it takes (round down), and the target takes the same amount of damage.
 The cloaker can detach itself by spending 5 feet of movement. The target or a creature within 5 feet of it can take an action to try to detach the cloaker, doing so by succeeding on a DC 14 Strength (Athletics) check.

**_Tail._** _Melee Attack Roll:_ +6, reach 10 ft. _Hit:_ 8 (1d10 + 3) Slashing damage.

#### Bonus Actions

<hr>

**_Moan._** _Wisdom Saving Throw:_ DC 13, each creature in a 60-foot Emanation originating from the cloaker. _Failure:_ The target has the Frightened condition until the end of the cloaker's next turn. _Success:_ The target is immune to this cloaker's Moan for the next 24 hours.

**_Phantasms (Recharge after a Short or Long Rest)._** The cloaker casts the _Mirror Image_ spell, requiring no spell components and using Wisdom as the spellcasting ability. The spell ends early if the cloaker starts or ends its turn in Bright Light.",,,large,aberration,Chaotic Neutral,14,+5 (15),91,14d10 + 14,"10 ft., Fly 40 ft.",17,15,12,13,14,7,3,2,1,1,2,-2,8,,Frightened,,,Darkvision 120 ft.; Passive Perception 12,"Deep Speech, Undercommon",Stealth +5
cloud_giant,Cloud Giant,,"#### Actions

<hr>

**_Multiattack._** The giant makes two attacks, using Thunderous Mace or Thundercloud in any combination. It can replace one attack with a use of Spellcasting to cast _Fog Cloud_.

**_Thunderous Mace._** _Melee Attack Roll:_ +12, reach 10 ft. _Hit:_ 21 (3d8 + 8) Bludgeoning damage plus 7 (2d6) Thunder damage.

**_Thundercloud._** _Ranged Attack Roll:_ +12, range 240 ft. _Hit:_ 18 (3d6 + 8) Thunder damage, and the target has the Incapacitated condition until the end of its next turn.

**_Spellcasting._** The giant casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 15):
 **At Will:** _Detect Magic_, _Fog Cloud_, _Light_
 **1/Day Each:** _Control Weather_, _Gaseous Form_, _Telekinesis_

#### Bonus Actions

<hr>

**_Misty Step._** The giant casts the _Misty Step_ spell, using the same spellcasting ability as Spellcasting.",,,huge,giant,Neutral,14,+4 (14),200,16d12 + 96,"40 ft., Fly 20 ft. (hover)",27,10,22,12,16,16,8,0,10,1,7,3,9,,,,,Passive Perception 21,"Common, Giant","Insight +7, Perception +11"
cockatrice,Cockatrice,,"#### Actions

<hr>

**_Petrifying Bite._** _Melee Attack Roll:_ +3, reach 5 ft. _Hit:_ 3 (1d4 + 1) Piercing damage. If the target is a creature, it is subjected to the following effect. _Constitution Saving Throw:_ DC 11. _First Failure:_ The target has the Restrained condition. The target repeats the save at the end of its next turn if it is still Restrained, ending the effect on itself on a success. _Second Failure:_ The target has the Petrified condition, instead of the Restrained condition, for 24 hours.",,,small,monstrosity,Unaligned,11,+1 (11),22,5d6 + 5,"20 ft., Fly 40 ft.",6,12,12,2,13,5,-2,1,1,-4,1,-3,1/2,,Petrified,,,Darkvision 60 ft.; Passive Perception 11,None,
commoner,Commoner,,"#### Traits

<hr>

**_Training._** The commoner has proficiency in one skill of the GM's choice and has Advantage whenever it makes an ability check using that skill.

#### Actions

<hr>

**_Club._** _Melee Attack Roll:_ +2, reach 5 ft. _Hit:_ 2 (1d4) Bludgeoning damage.",,,medium,or small humanoid,Neutral,10,+0 (10),4,1d8,30 ft.,10,10,10,10,10,10,0,0,0,0,0,0,0,,,,Club,Passive Perception 10,Common,
copper_dragon_wyrmling,Copper Dragon Wyrmling,,"#### Actions

<hr>

**_Rend._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 7 (1d10 + 2) Slashing damage.

**_Acid Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 11, each creature in a 20-foot-long, 5-foot-wide Line. _Failure:_ 18 (4d8) Acid damage. _Success:_ Half damage.

**_Slowing Breath._** _Constitution Saving Throw:_ DC 11, each creature in a 15-foot Cone. _Failure:_ The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.",,,medium,dragon (metallic),Chaotic Good,16,+3 (13),22,4d8 + 4,"30 ft., Climb 30 ft., Fly 60 ft.",15,12,13,14,11,13,2,3,1,2,2,1,1,,Acid,,,"Blindsight 10 ft., Darkvision 60 ft.; Passive Perception 14",Draconic,"Perception +4, Stealth +3"
young_copper_dragon,Young Copper Dragon,,"#### Actions

<hr>

**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of Slowing Breath.

**_Rend._** _Melee Attack Roll:_ +7, reach 10 ft. _Hit:_ 15 (2d10 + 4) Slashing damage.

**_Acid Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 14, each creature in a 40-foot-long, 5-foot-wide Line. _Failure:_ 40 (9d8) Acid damage. _Success:_ Half damage.

**_Slowing Breath._** _Constitution Saving Throw:_ DC 14, each creature in a 30-foot Cone. _Failure:_ The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.",,,large,dragon (metallic),Chaotic Good,17,+4 (14),119,14d10 + 42,"40 ft., Climb 40 ft., Fly 80 ft.",19,12,17,16,13,15,4,4,3,3,4,2,7,,Acid,,,"Blindsight 30 ft., Darkvision 120 ft.; Passive Perception 17","Common, Draconic","Deception +5, Perception +7, Stealth +4"
adult_copper_dragon,Adult Copper Dragon,,"#### Traits

<hr>

**_Legendary Resistance (3/Day, or 4/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.

#### Actions

<hr>

**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Slowing Breath or (B) Spellcasting to cast _Mind Spike_ (level 4 version).

**_Rend._** _Melee Attack Roll:_ +11, reach 10 ft. _Hit:_ 17 (2d10 + 6) Slashing damage plus 4 (1d8) Acid damage.

**_Acid Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 18, each creature in an 60-foot-long, 5-foot-wide Line. _Failure:_ 54 (12d8) Acid damage. _Success:_ Half damage.

**_Slowing Breath._** _Constitution Saving Throw:_ DC 18, each creature in a 60-foot Cone. _Failure:_ The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.

**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):
 **At Will:** _Detect Magic_, _Mind Spike_ (level 4 version), _Minor Illusion_, _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)
 **1/Day Each:** _Greater Restoration_, _Major Image_

#### Legendary Actions

<hr>

_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._

**_Giggling Magic._** _Charisma Saving Throw:_ DC 17, one creature the dragon can see within 90 feet. _Failure:_ 24 (7d6) Psychic damage. Until the end of its next turn, the target rolls 1d6 whenever it makes an ability check or attack roll and subtracts the number rolled from the D20 Test. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.

**_Mind Jolt._** The dragon uses Spellcasting to cast _Mind Spike_ (level 4 version). The dragon can't take this action again until the start of its next turn.

**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.",,,huge,dragon (metallic),Chaotic Good,18,+11 (21),184,16d12 + 80,"40 ft., Climb 40 ft., Fly 80 ft.",23,12,21,18,15,18,6,6,5,4,7,4,14,,Acid,,,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 22","Common, Draconic","Deception +9, Perception +12, Stealth +6"
ancient_copper_dragon,Ancient Copper Dragon,,"#### Traits

<hr>

**_Legendary Resistance (4/Day, or 5/Day in Lair)._** If the dragon fails a saving throw, it can choose to succeed instead.

#### Actions

<hr>

**_Multiattack._** The dragon makes three Rend attacks. It can replace one attack with a use of (A) Slowing Breath or (B) Spellcasting to cast _Mind Spike_ (level 5 version).

**_Rend._** _Melee Attack Roll:_ +15, reach 15 ft. _Hit:_ 19 (2d10 + 8) Slashing damage plus 9 (2d8) Acid damage.

**_Acid Breath (Recharge 5–6)._** _Dexterity Saving Throw:_ DC 22, each creature in an 90-foot-long, 10-foot-wide Line. _Failure:_ 63 (14d8) Acid damage. _Success:_ Half damage.

**_Slowing Breath._** _Constitution Saving Throw:_ DC 22, each creature in a 90-foot Cone. _Failure:_ The target can't take Reactions; its Speed is halved; and it can take either an action or a Bonus Action on its turn, not both. This effect lasts until the end of its next turn.

**_Spellcasting._** The dragon casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 21):
 **At Will:** _Detect Magic, Mind Spike_ (level 5 version), _Minor Illusion, Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)
 **1/Day Each:** _Greater Restoration, Major Image, Project Image_

#### Legendary Actions

<hr>

_Legendary Action Uses: 3 (4 in Lair). Immediately after another creature's turn, the dragon can expend a use to take one of the following actions. The dragon regains all expended uses at the start of each of its turns._

**_Giggling Magic._** _Charisma Saving Throw:_ DC 21, one creature the dragon can see within 120 feet. _Failure:_ 31 (9d6) Psychic damage. Until the end of its next turn, the target rolls 1d8 whenever it makes an ability check or attack roll and subtracts the number rolled from the D20 Test. _Failure or Success:_ The dragon can't take this action again until the start of its next turn.

**_Mind Jolt._** The dragon uses Spellcasting to cast _Mind Spike_ (level 5 version). The dragon can't take this action again until the start of its next turn.

**_Pounce._** The dragon moves up to half its Speed, and it makes one Rend attack.",,,gargantuan,dragon (metallic),Chaotic Good,21,+15 (25),367,21d20 + 147,"40 ft., Climb 40 ft., Fly 80 ft.",27,12,25,20,17,22,8,8,7,5,10,6,21,,Acid,,,"Blindsight 60 ft., Darkvision 120 ft.; Passive Perception 27","Common, Draconic","Deception +13, Perception +17, Stealth +8"
couatl,Couatl,,"#### Traits

<hr>

**_Shielded Mind._** The couatl's thoughts can't be read by any means, and other creatures can communicate with it telepathically only if it allows them.

#### Actions

<hr>

**_Bite._** _Melee Attack Roll:_ +7, reach 5 ft. _Hit:_ 11 (1d12 + 5) Piercing damage, and the target has the Poisoned condition until the end of the couatl's next turn.

**_Constrict._** _Strength Saving Throw:_ DC 15, one Medium or smaller creature the couatl can see within 5 feet. _Failure:_ 8 (1d6 + 5) Bludgeoning damage. The target has the Grappled condition (escape DC 13), and it has the Restrained condition until the grapple ends.

**_Spellcasting._** The couatl casts one of the following spells, requiring no spell components and using Wisdom as the spellcasting ability (spell save DC 15):
 **At Will:** _Detect Evil and Good, Detect Magic, Detect Thoughts, Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)
 **1/Day Each:** _Create Food and Water_, _Dream_, _Greater Restoration_, _Scrying_, _Sleep_

#### Bonus Actions

<hr>

**_Divine Aid (2/Day)._** The couatl casts _Bless_, _Lesser Restoration_, or _Sanctuary_, requiring no spell components and using the same spellcasting ability as Spellcasting.",,,medium,celestial,Lawful Good,19,+5 (15),60,8d8 + 24,"30 ft., Fly 90 ft.",16,20,17,18,20,18,3,5,5,4,7,4,4,"Bludgeoning, Piercing, Slashing","Psychic, Radiant",,,Truesight 120 ft.; Passive Perception 15,All; telepathy 120 ft.,
swarm_of_crawling_claws,Swarm of Crawling Claws,,"#### Traits

<hr>

**_Swarm._** The swarm can occupy another creature's space and vice versa, and the swarm can move through any opening large enough for a Tiny creature. The swarm can't regain Hit Points or gain Temporary Hit Points.

#### Actions

<hr>

**_Swarm of Grasping Hands._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 20 (4d8 + 2) Necrotic damage, or 11 (2d8 + 2) Necrotic damage if the swarm is Bloodied. If the target is a Medium or smaller creature, it has the Prone condition.",,,medium,swarm of tiny undead,Neutral Evil,12,+2 (12),49,11d8,"30 ft., Climb 30 ft.",14,14,11,5,10,4,2,2,0,-3,0,-3,3,"Bludgeoning, Piercing, Slashing","Necrotic, Poison; Charmed, Exhaustion, Frightened, Grappled, Incapacitated, Paralyzed, Petrified, Poisoned, Prone, Restrained, Stunned",,,Blindsight 30 ft.; Passive Perception 10,Understands Common but can't speak,
cultist,Cultist,,"#### Actions

<hr>

**_Ritual Sickle._** _Melee Attack Roll:_ +3, reach 5 ft. _Hit:_ 3 (1d4 + 1) Slashing damage plus 1 Necrotic damage.",,,medium,or small humanoid,Neutral,12,+1 (11),9,2d8,30 ft.,11,12,10,10,11,10,0,1,0,0,2,0,1/8,,,,"Leather Armor, Sickle",Passive Perception 10,Common,"Deception +2, Religion +2"
cultist_fanatic,Cultist Fanatic,,"#### Actions

<hr>

**_Pact Blade._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 6 (1d8 + 2) Slashing damage plus 7 (2d6) Necrotic damage.

**_Spellcasting._** The cultist casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 12, +4 to hit with spell attacks):
 **At Will:** _Light_, _Thaumaturgy_
 **2/Day:** _Command_
 **1/Day:** _Hold Person_

#### Bonus Actions

<hr>

**_Spiritual Weapon (2/Day)._** The cultist casts the _Spiritual Weapon_ spell, using the same spellcasting ability as Spellcasting.",,,medium,or small humanoid,Neutral,13,+2 (12),44,8d8 + 8,30 ft.,11,14,12,10,14,13,0,2,1,0,4,1,2,,,,"Holy Symbol, Leather Armor",Passive Perception 12,Common,"Deception +3, Persuasion +3, Religion +2"
darkmantle,Darkmantle,,"#### Actions

<hr>

**_Crush._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 6 (1d6 + 3) Bludgeoning damage, and the darkmantle attaches to the target. If the target is a Medium or smaller creature and the darkmantle had Advantage on the attack roll, it covers the target, which has the Blinded condition and is suffocating while the darkmantle is attached in this way.
 While attached to a target, the darkmantle can attack only the target but has Advantage on its attack rolls. Its Speed becomes 0, it can't benefit from any bonus to its Speed, and it moves with the target.
 A creature can take an action to try to detach the darkmantle from itself, doing so with a successful DC 13 Strength (Athletics) check. On its turn, the darkmantle can detach itself by using 5 feet of movement.

**_Darkness Aura (1/Day)._** Magical Darkness fills a 15-foot Emanation originating from the darkmantle. This effect lasts while the darkmantle maintains Concentration on it, up to 10 minutes. Darkvision can't penetrate this area, and no light can illuminate it.",,,small,aberration,Unaligned,11,+3 (13),22,5d6 + 5,"10 ft., Fly 30 ft.",16,12,13,2,10,5,3,1,1,-4,0,-3,1/2,,,,,Blindsight 60 ft.; Passive Perception 10,None,Stealth +3
death_dog,Death Dog,,"#### Actions

<hr>

**_Multiattack._** The death dog makes two Bite attacks.

**_Bite._** _Melee Attack Roll:_ +4, reach 5 ft. _Hit:_ 4 (1d4 + 2) Piercing damage. If the target is a creature, it is subjected to the following effect. _Constitution Saving Throw:_ DC 12. _First Failure:_ The target has the Poisoned condition. While Poisoned, the target's Hit Point maximum doesn't return to normal when finishing a Long Rest, and it repeats the save every 24 hours that elapse, ending the effect on itself on a success. _Subsequent Failures:_ The Poisoned target's Hit Point maximum decreases by 5 (1d10).",,,medium,monstrosity,Neutral Evil,12,+2 (12),39,6d8 + 12,40 ft.,15,14,14,3,13,6,2,2,2,-4,1,-2,1,,"Blinded, Charmed, Deafened, Frightened, Stunned, Unconscious",,,Darkvision 120 ft.; Passive Perception 15,None,"Perception +5, Stealth +4"
deva,Deva,,"#### Traits

<hr>

**_Exalted Restoration._** If the deva dies outside Mount Celestia, its body disappears, and it gains a new body instantly, reviving with all its Hit Points somewhere in Mount Celestia.

**_Magic Resistance._** The deva has Advantage on saving throws against spells and other magical effects.

#### Actions

<hr>

**_Multiattack._** The deva makes two Holy Mace attacks.

**_Holy Mace._** _Melee Attack Roll:_ +8, reach 5 ft. _Hit:_ 7 (1d6 + 4) Bludgeoning damage plus 18 (4d8) Radiant damage.

**_Spellcasting._** The deva casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):
 **At Will:** _Detect Evil and Good_, _Shapechange_ (Beast or Humanoid form only, no Temporary Hit Points gained from the spell, and no Concentration or Temporary Hit Points required to maintain the spell)
 **1/Day Each:** _Commune_, _Raise Dead_

#### Bonus Actions

<hr>

**_Divine Aid (2/Day)._** The deva casts _Cure Wounds_, _Lesser Restoration_, or _Remove Curse_, using the same spellcasting ability as Spellcasting.",,,medium,celestial (angel),Lawful Good,17,+4 (14),229,27d8 + 108,"30 ft., Fly 90 ft. (hover)",18,18,18,17,20,20,4,4,4,3,9,9,10,Radiant,"Charmed, Exhaustion, Frightened",,,Darkvision 120 ft.; Passive Perception 19,All; telepathy 120 ft.,"Insight +9, Perception +9"
djinni,Djinni,,"#### Traits

<hr>

**_Elemental Restoration._** If the djinni dies outside the Elemental Plane of Air, its body dissolves into mist, and it gains a new body in 1d4 days, reviving with all its Hit Points somewhere on the Plane of Air.

**_Magic Resistance._** The djinni has Advantage on saving throws against spells and other magical effects.

**_Wishes._** The djinni has a 30 percent chance of knowing the _Wish_ spell. If the djinni knows it, the djinni can cast it only on behalf of a non-genie creature who communicates a wish in a way the djinni can understand. If the djinni casts the spell for the creature, the djinni suffers none of the spell's stress. Once the djinni has cast it three times, the djinni can't do so again for 365 days.

#### Actions

<hr>

**_Multiattack._** The djinni makes three attacks, using Storm Blade or Storm Bolt in any combination.

**_Storm Blade._** _Melee Attack Roll:_ +9, reach 5 feet. _Hit:_ 12 (2d6 + 5) Slashing damage plus 7 (2d6) Lightning damage.

**_Storm Bolt._** _Ranged Attack Roll:_ +9, range 120 feet. _Hit:_ 13 (3d8) Thunder damage. If the target is a Large or smaller creature, it has the Prone condition.

**_Create Whirlwind._** The djinni conjures a whirlwind at a point it can see within 120 feet. The whirlwind fills a 20-foot-radius, 60-foot-high Cylinder centered on that point. The whirlwind lasts until the djinni's Concentration on it ends. The djinni can move the whirlwind up to 20 feet at the start of each of its turns.
 Whenever the whirlwind enters a creature's space or a creature enters the whirlwind, that creature is subjected to the following effect. _Strength Saving Throw:_ DC 17 (a creature makes this save only once per turn, and the djinni is unaffected). _Failure:_ While in the whirlwind, the target has the Restrained condition and moves with the whirlwind. At the start of each of its turns, the Restrained target takes 21 (6d6) Thunder damage. At the end of each of its turns, the target repeats the save, ending the effect on itself on a success.

**_Spellcasting._** The djinni casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 17):
 **At Will:** _Detect Evil and Good, Detect Magic_
 **2/Day Each:** _Create Food and Water_ (can create wine instead of water), _Tongues, Wind Walk_
 **1/Day Each:** _Creation, Gaseous Form, Invisibility, Major Image, Plane Shift_",,,large,elemental (genie),Neutral,17,+2 (12),218,19d10 + 114,"30 ft., Fly 90 ft. (hover)",21,15,22,15,16,20,5,6,6,2,7,5,11,,"Lightning, Thunder",,,Darkvision 120 ft.; Passive Perception 13,Primordial (Auran),
doppelganger,Doppelganger,,"#### Actions

<hr>

**_Multiattack._** The doppelganger makes two Slam attacks and uses Unsettling Visage if available.

**_Slam._** _Melee Attack Roll:_ +6 (with Advantage during the first round of each combat), reach 5 ft. _Hit:_ 11 (2d6 + 4) Bludgeoning damage.

**_Read Thoughts._** The doppelganger casts _Detect Thoughts_, requiring no spell components and using Charisma as the spellcasting ability (spell save DC 12).

**_Unsettling Visage (Recharge 6)._** _Wisdom Saving Throw:_ DC 12, each creature in a 15-foot Emanation originating from the doppelganger that can see the doppelganger. _Failure:_ The target has the Frightened condition and repeats the save at the end of each of its turns, ending the effect on itself on a success. After 1 minute, it succeeds automatically.

#### Bonus Actions

<hr>

**_Shape-Shift._** The doppelganger shape-shifts into a Medium or Small Humanoid, or it returns to its true form. Its game statistics, other than its size, are the same in each form. Any equipment it is wearing or carrying isn't transformed.",,,medium,monstrosity,Neutral,14,+4 (14),52,8d8 + 16,30 ft.,11,18,14,11,12,14,0,4,2,0,1,2,3,,Charmed,,,Darkvision 60 ft.; Passive Perception 11,Common plus three other languages,"Deception +6, Insight +3"
dragon_turtle,Dragon Turtle,,"#### Traits

<hr>

**_Amphibious._** The dragon can breathe air and water.

#### Actions

<hr>

**_Multiattack._** The dragon makes three Bite attacks. It can replace one attack with a Tail attack.

**_Bite._** _Melee Attack Roll:_ +13, reach 15 ft. _Hit:_ 23 (3d10 + 7) Piercing damage plus 7 (2d6) Fire damage. Being underwater doesn't grant Resistance to this Fire damage.

**_Tail._** _Melee Attack Roll:_ +13, reach 15 ft. _Hit:_ 18 (2d10 + 7) Bludgeoning damage. If the target is a Huge or smaller creature, it has the Prone condition.

**_Steam Breath (Recharge 5–6)._** _Constitution Saving Throw:_ DC 19, each creature in a 60-foot Cone. _Failure:_ 56 (16d6) Fire damage. _Success:_ Half damage. _Failure or Success:_ Being underwater doesn't grant Resistance to this Fire damage.",,,gargantuan,dragon,Neutral,20,+6 (16),356,23d20 + 115,"20 ft., Swim 50 ft.",25,10,20,10,12,12,7,0,11,0,7,1,17,Fire,,,,Darkvision 120 ft.; Passive Perception 11,"Draconic, Primordial (Aquan)",
dretch,Dretch,,"#### Actions

<hr>

**_Rend._** _Melee Attack Roll:_ +3, reach 5 ft. _Hit:_ 4 (1d6 + 1) Slashing damage.

**_Fetid Cloud (1/Day)._** _Constitution Saving Throw:_ DC 11, each creature in a 10-foot Emanation originating from the dretch. _Failure:_ The target has the Poisoned condition until the end of its next turn. While Poisoned, the creature can take either an action or a Bonus Action on its turn, not both, and it can't take Reactions.",,,small,fiend (demon),Chaotic Evil,11,+0 (10),18,4d6 + 4,20 ft.,12,11,12,5,8,3,1,0,1,-3,-1,-4,1/4,"Cold, Fire, Lightning",Poison; Poisoned,,,Darkvision 60 ft.; Passive Perception 9,Abyssal; telepathy 60 ft. (works only with creatures that understand Abyssal),
drider,Drider,,"#### Traits

<hr>

**_Spider Climb._** The drider can climb difficult surfaces, including along ceilings, without needing to make an ability check.

**_Sunlight Sensitivity._** While in sunlight, the drider has Disadvantage on ability checks and attack rolls.

**_Web Walker._** The drider ignores movement restrictions caused by webs, and the drider knows the location of any other creature in contact with the same web.

#### Actions

<hr>

**_Multiattack._** The drider makes three attacks, using Foreleg or Poison Burst in any combination.

**_Foreleg._** _Melee Attack Roll:_ +7, reach 10 ft. _Hit:_ 13 (2d8 + 4) Piercing damage.

**_Poison Burst._** _Ranged Attack Roll:_ +6, range 120 ft. _Hit:_ 13 (3d6 + 3) Poison damage.

#### Bonus Actions

<hr>

**_Magic of the Spider Queen (Recharge 5–6)._** The drider casts _Darkness_, _Faerie Fire_, or _Web_, requiring no Material components and using Wisdom as the spellcasting ability (spell save DC 14).",,,large,monstrosity,Chaotic Evil,19,+4 (14),123,13d10 + 52,"30 ft., Climb 30 ft.",16,19,18,13,16,12,3,4,4,1,3,1,6,,,,,Darkvision 120 ft.; Passive Perception 16,"Elvish, Undercommon","Perception +6, Stealth +10"
druid,Druid,,"#### Actions

<hr>

**_Multiattack._** The druid makes two attacks, using Vine Staff or Verdant Wisp in any combination.

**_Vine Staff._** _Melee Attack Roll:_ +5, reach 5 ft. _Hit:_ 7 (1d8 + 3) Bludgeoning damage plus 2 (1d4) Poison damage.

**_Verdant Wisp._** _Ranged Attack Roll:_ +5, range 90 ft. _Hit:_ 10 (3d6) Radiant damage.

**_Spellcasting._** The druid casts one of the following spells, using Wisdom as the spellcasting ability (spell save DC 13):
 **At Will:** _Druidcraft, Speak with Animals_
 **2/Day Each:** _Entangle, Thunderwave_
 **1/Day Each:** _Animal Messenger, Long-strider, Moonbeam_",,,medium,or small humanoid (druid),Neutral,13,+1 (11),44,8d8 + 8,30 ft.,10,12,13,12,16,11,0,1,1,1,3,0,2,,,,Studded Leather Armor,Passive Perception 15,"Common, Druidic, Sylvan","Medicine +5, Nature +3, Perception +5"
dryad,Dryad,,"#### Traits

<hr>

**_Magic Resistance._** The dryad has Advantage on saving throws against spells and other magical effects.

**_Speak with Beasts and Plants._** The dryad can communicate with Beasts and Plants as if they shared a language.

#### Actions

<hr>

**_Multiattack._** The dryad makes one Vine Lash or Thorn Burst attack, and it can use Spellcasting to cast _Charm Monster_.

**_Vine Lash._** _Melee Attack Roll:_ +6, reach 10 ft. _Hit:_ 8 (1d8 + 4) Slashing damage.

**_Thorn Burst._** _Ranged Attack Roll:_ +6, range 60 ft. _Hit:_ 7 (1d6 + 4) Piercing damage.

**_Spellcasting._** The dryad casts one of the following spells, requiring no Material components and using Charisma as the spellcasting ability (spell save DC 14):
 **At Will:** _Animal Friendship, Charm Monster_ (lasts 24 hours; ends early if the dryad casts the spell again), _Druidcraft_
 **1/Day Each:** _Entangle, Pass without Trace_

#### Bonus Actions

<hr>

**_Tree Stride._** If within 5 feet of a Large or bigger tree, the dryad teleports to an unoccupied space within 5 feet of a second Large or bigger tree that is within 60 feet of the previous tree.",,,medium,fey,Neutral,16,+1 (11),22,5d8,30 ft.,10,12,11,14,15,18,0,1,0,2,2,4,1,,,,,Darkvision 60 ft.; Passive Perception 14,"Elvish, Sylvan","Perception +4, Stealth +5"
earth_elemental,Earth Elemental,,"#### Traits

<hr>

**_Earth Glide._** The elemental can burrow through nonmagical, unworked earth and stone. While doing so, the elemental doesn't disturb the material it moves through.

**_Siege Monster._** The elemental deals double damage to objects and structures.

#### Actions

<hr>

**_Multiattack._** The elemental makes two attacks, using Slam or Rock Launch in any combination.

**_Slam._** _Melee Attack Roll:_ +8, reach 10 ft. _Hit:_ 14 (2d8 + 5) Bludgeoning damage.

**_Rock Launch._** _Ranged Attack Roll:_ +8, range 60 ft. _Hit:_ 8 (1d6 + 5) Bludgeoning damage. If the target is a Large or smaller creature, it has the Prone condition.",,,large,elemental,Neutral,17,−1 (9),147,14d10 + 70,"30 ft., Burrow 30 ft.",20,8,20,5,10,5,5,-1,5,-3,0,-3,5,,"Poison; Exhaustion, Paralyzed, Petrified, Poisoned, Unconscious",Thunder,,"Darkvision 60 ft., Tremorsense 60 ft.; Passive Perception 10",Primordial (Terran),
